Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,covid_cases,covid_deaths
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new jersey,New Jersey,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,29.4,25.3,33.7,25.3 - 33.7,23.9-30.1,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new mexico,New Mexico,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,32.7,27.6,38.0,27.6 - 38.0,32.0-34.7,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,new york,New York,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,28.9,25.3,32.7,25.3 - 32.7,23.9-30.1,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,north carolina,North Carolina,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,35.5,31.5,39.8,31.5 - 39.8,34.8-39.4,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,north dakota,North Dakota,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,23.9,19.3,29.0,19.3 - 29.0,23.9-30.1,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,ohio,Ohio,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,31.5,26.9,36.4,26.9 - 36.4,30.2-31.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,oklahoma,Oklahoma,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,34.7,30.4,39.3,30.4 - 39.3,32.0-34.7,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,oregon,Oregon,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,34.4,31.4,37.6,31.4 - 37.6,32.0-34.7,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,pennsylvania,Pennsylvania,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,32.6,29.6,35.6,29.6 - 35.6,32.0-34.7,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,rhode island,Rhode Island,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,34.8,28.0,42.2,28.0 - 42.2,34.8-39.4,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,south carolina,South Carolina,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,36.1,32.0,40.2,32.0 - 40.2,34.8-39.4,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,south dakota,South Dakota,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,26.9,22.5,31.8,22.5 - 31.8,23.9-30.1,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,tennessee,Tennessee,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,36.5,32.7,40.5,32.7 - 40.5,34.8-39.4,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,texas,Texas,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,36.0,32.4,39.6,32.4 - 39.6,34.8-39.4,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,utah,Utah,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,36.5,33.2,39.9,33.2 - 39.9,34.8-39.4,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,vermont,Vermont,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,27.5,23.1,32.3,23.1 - 32.3,23.9-30.1,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,virginia,Virginia,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,30.5,27.3,33.8,27.3 - 33.8,30.2-31.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,washington,Washington,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,31.0,28.3,33.8,28.3 - 33.8,30.2-31.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,west virginia,West Virginia,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,34.6,29.2,40.2,29.2 - 40.2,32.0-34.7,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,wisconsin,Wisconsin,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,31.9,28.5,35.5,28.5 - 35.5,30.2-31.9,0.0,0.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,wyoming,Wyoming,3.9,58,"Jun 7 - Jun 19, 2023",2023-06-07,2023-06-19,33.0,27.8,38.5,27.8 - 38.5,32.0-34.7,0.0,0.0
Symptoms of Depressive Disorder,National Estimate,united states,United States,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.0,21.3,22.7,21.3 - 22.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,18 - 29 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,32.6,30.1,35.1,30.1 - 35.1,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,30 - 39 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,26.2,24.6,27.9,24.6 - 27.9,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,40 - 49 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.5,21.4,23.7,21.4 - 23.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,50 - 59 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.8,20.5,23.1,20.5 - 23.1,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,60 - 69 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,15.9,14.6,17.3,14.6 - 17.3,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,70 - 79 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,12.1,10.5,13.8,10.5 - 13.8,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,80 years and above,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,13.6,10.5,17.3,10.5 - 17.3,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Male,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.1,20.0,22.2,20.0 - 22.2,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Female,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.8,21.9,23.7,21.9 - 23.7,,0.0,0.0
Symptoms of Depressive Disorder,By Gender identity,united states,Cis-gender male,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.6,19.5,21.7,19.5 - 21.7,,0.0,0.0
Symptoms of Depressive Disorder,By Gender identity,united states,Cis-gender female,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.0,21.2,22.9,21.2 - 22.9,,0.0,0.0
Symptoms of Depressive Disorder,By Gender identity,united states,Transgender,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,70.4,63.0,77.0,63.0 - 77.0,,0.0,0.0
Symptoms of Depressive Disorder,By Sexual orientation,united states,Gay or lesbian,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,28.1,24.0,32.5,24.0 - 32.5,,0.0,0.0
Symptoms of Depressive Disorder,By Sexual orientation,united states,Straight,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.1,19.3,20.8,19.3 - 20.8,,0.0,0.0
Symptoms of Depressive Disorder,By Sexual orientation,united states,Bisexual,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,40.4,37.4,43.4,37.4 - 43.4,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,26.0,23.4,28.9,23.4 - 28.9,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.9,20.1,21.6,20.1 - 21.6,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.5,19.7,23.2,19.7 - 23.2,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,17.8,14.8,21.2,14.8 - 21.2,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,29.1,25.6,32.9,25.6 - 32.9,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Less than a high school diploma,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,31.2,27.7,34.8,27.7 - 34.8,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,High school diploma or GED,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,26.5,25.0,28.0,25.0 - 28.0,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Some college/Associate's degree,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,25.3,24.4,26.3,24.4 - 26.3,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Bachelor's degree or higher,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,13.7,12.9,14.4,12.9 - 14.4,,0.0,0.0
Symptoms of Depressive Disorder,By Disability status,united states,With disability,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,47.3,45.4,49.3,45.4 - 49.3,,0.0,0.0
Symptoms of Depressive Disorder,By Disability status,united states,Without disability,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,17.0,16.2,17.8,16.2 - 17.8,,0.0,0.0
Symptoms of Depressive Disorder,By State,alabama,Alabama,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.3,22.5,32.5,22.5 - 32.5,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,alaska,Alaska,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,18.6,14.7,23.1,14.7 - 23.1,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,arizona,Arizona,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.4,16.9,24.3,16.9 - 24.3,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,arkansas,Arkansas,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,25.2,20.0,30.9,20.0 - 30.9,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,california,California,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.6,21.3,28.3,21.3 - 28.3,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,colorado,Colorado,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.6,17.4,24.1,17.4 - 24.1,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,connecticut,Connecticut,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,18.9,15.5,22.6,15.5 - 22.6,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,delaware,Delaware,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,17.6,12.6,23.5,12.6 - 23.5,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,district of columbia,District of Columbia,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.3,15.6,27.9,15.6 - 27.9,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,florida,Florida,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.0,18.0,24.3,18.0 - 24.3,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,georgia,Georgia,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,23.8,20.2,27.7,20.2 - 27.7,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,hawaii,Hawaii,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,25.1,19.4,31.4,19.4 - 31.4,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,idaho,Idaho,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,17.5,14.1,21.3,14.1 - 21.3,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,illinois,Illinois,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.1,18.1,26.4,18.1 - 26.4,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,indiana,Indiana,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.4,18.4,24.5,18.4 - 24.5,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,iowa,Iowa,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.0,17.9,24.4,17.9 - 24.4,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,kansas,Kansas,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.4,18.4,24.7,18.4 - 24.7,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,kentucky,Kentucky,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.1,19.6,29.1,19.6 - 29.1,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,louisiana,Louisiana,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.4,23.0,32.2,23.0 - 32.2,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,maine,Maine,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.2,19.7,29.1,19.7 - 29.1,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,maryland,Maryland,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,19.2,15.2,23.6,15.2 - 23.6,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,massachusetts,Massachusetts,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.1,17.9,24.5,17.9 - 24.5,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,michigan,Michigan,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.4,18.3,24.8,18.3 - 24.8,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,minnesota,Minnesota,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,16.5,13.8,19.4,13.8 - 19.4,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,mississippi,Mississippi,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,29.8,24.0,36.1,24.0 - 36.1,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,missouri,Missouri,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.7,21.2,28.4,21.2 - 28.4,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,montana,Montana,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.6,16.9,26.9,16.9 - 26.9,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,nebraska,Nebraska,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.8,18.2,25.8,18.2 - 25.8,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,nevada,Nevada,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.9,20.6,29.7,20.6 - 29.7,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,new hampshire,New Hampshire,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,17.8,14.6,21.5,14.6 - 21.5,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,new jersey,New Jersey,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.0,16.3,24.2,16.3 - 24.2,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,new mexico,New Mexico,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,26.0,23.1,29.1,23.1 - 29.1,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,new york,New York,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.0,16.9,25.5,16.9 - 25.5,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,north carolina,North Carolina,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.2,18.2,24.5,18.2 - 24.5,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,north dakota,North Dakota,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,19.5,14.7,25.1,14.7 - 25.1,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,ohio,Ohio,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,23.7,20.1,27.6,20.1 - 27.6,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,oklahoma,Oklahoma,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,25.5,21.6,29.7,21.6 - 29.7,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,oregon,Oregon,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,25.6,22.4,28.9,22.4 - 28.9,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,pennsylvania,Pennsylvania,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,19.9,17.4,22.6,17.4 - 22.6,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,rhode island,Rhode Island,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,18.1,13.6,23.5,13.6 - 23.5,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,south carolina,South Carolina,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.2,16.6,26.2,16.6 - 26.2,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,south dakota,South Dakota,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,14.9,9.9,21.0,9.9 - 21.0,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,tennessee,Tennessee,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.7,23.3,32.3,23.3 - 32.3,24.6-29.8,0.0,0.0
Symptoms of Depressive Disorder,By State,texas,Texas,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,19.5,17.2,21.9,17.2 - 21.9,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,utah,Utah,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.5,21.3,28.0,21.3 - 28.0,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,vermont,Vermont,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,16.5,12.4,21.3,12.4 - 21.3,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,virginia,Virginia,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.2,19.0,25.6,19.0 - 25.6,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,washington,Washington,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.9,18.6,23.4,18.6 - 23.4,19.6-21.3,0.0,0.0
Symptoms of Depressive Disorder,By State,west virginia,West Virginia,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,23.4,19.5,27.8,19.5 - 27.8,21.4-24.5,0.0,0.0
Symptoms of Depressive Disorder,By State,wisconsin,Wisconsin,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,16.1,13.5,19.0,13.5 - 19.0,14.9-19.5,0.0,0.0
Symptoms of Depressive Disorder,By State,wyoming,Wyoming,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,18.8,15.1,22.9,15.1 - 22.9,14.9-19.5,0.0,0.0
Symptoms of Anxiety Disorder,National Estimate,united states,United States,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.3,26.6,28.0,26.6 - 28.0,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,18 - 29 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,38.4,35.7,41.2,35.7 - 41.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,30 - 39 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,34.5,33.0,36.1,33.0 - 36.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,40 - 49 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,29.7,28.3,31.1,28.3 - 31.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,50 - 59 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,26.0,24.8,27.3,24.8 - 27.3,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,60 - 69 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,19.2,18.0,20.5,18.0 - 20.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,70 - 79 years,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,14.0,12.5,15.6,12.5 - 15.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,80 years and above,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,17.4,13.8,21.5,13.8 - 21.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Sex,united states,Male,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,23.6,22.5,24.7,22.5 - 24.7,,0.0,0.0
Symptoms of Anxiety Disorder,By Sex,united states,Female,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,30.8,29.9,31.6,29.9 - 31.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Gender identity,united states,Cis-gender male,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,23.1,22.0,24.2,22.0 - 24.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Gender identity,united states,Cis-gender female,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,30.3,29.4,31.2,29.4 - 31.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Gender identity,united states,Transgender,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,70.1,60.3,78.8,60.3 - 78.8,,0.0,0.0
Symptoms of Anxiety Disorder,By Sexual orientation,united states,Gay or lesbian,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,37.1,32.5,41.9,32.5 - 41.9,,0.0,0.0
Symptoms of Anxiety Disorder,By Sexual orientation,united states,Straight,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,25.0,24.3,25.8,24.3 - 25.8,,0.0,0.0
Symptoms of Anxiety Disorder,By Sexual orientation,united states,Bisexual,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,48.5,45.5,51.6,45.5 - 51.6,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,30.0,27.3,32.7,27.3 - 32.7,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.0,26.3,27.7,26.3 - 27.7,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.4,22.6,26.4,22.6 - 26.4,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,19.1,16.3,22.2,16.3 - 22.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,37.5,33.7,41.5,33.7 - 41.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Less than a high school diploma,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,32.3,28.0,36.9,28.0 - 36.9,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,High school diploma or GED,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,29.2,27.6,30.8,27.6 - 30.8,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Some college/Associate's degree,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,31.6,30.5,32.7,30.5 - 32.7,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Bachelor's degree or higher,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,21.1,20.4,21.9,20.4 - 21.9,,0.0,0.0
Symptoms of Anxiety Disorder,By Disability status,united states,With disability,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,52.9,50.6,55.1,50.6 - 55.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Disability status,united states,Without disability,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,22.3,21.6,23.0,21.6 - 23.0,,0.0,0.0
Symptoms of Anxiety Disorder,By State,alabama,Alabama,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,29.3,24.6,34.5,24.6 - 34.5,27.5-29.9,0.0,0.0
Symptoms of Anxiety Disorder,By State,alaska,Alaska,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,20.3,16.2,25.0,16.2 - 25.0,15.9-25.1,0.0,0.0
Symptoms of Anxiety Disorder,By State,arizona,Arizona,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,24.8,21.4,28.4,21.4 - 28.4,15.9-25.1,0.0,0.0
Symptoms of Anxiety Disorder,By State,arkansas,Arkansas,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.2,22.7,32.0,22.7 - 32.0,25.2-27.4,0.0,0.0
Symptoms of Anxiety Disorder,By State,california,California,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,26.6,23.3,30.0,23.3 - 30.0,25.2-27.4,0.0,0.0
Symptoms of Anxiety Disorder,By State,colorado,Colorado,3.9,59,"Jun 28 - Jul 10, 2023",2023-06-28,2023-07-10,27.3,23.2,31.7,23.2 - 31.7,25.2-27.4,0.0,0.0
